Time,Time Code,Country Name,Country Code,Rule of Law: Estimate [RL.EST],Rule of Law: Number of Sources [RL.NO.SRC],Rule of Law: Percentile Rank [RL.PER.RNK],"Rule of Law: Percentile Rank, Lower Bound of 90% Confidence Interval [RL.PER.RNK.LOWER]","Rule of Law: Percentile Rank, Upper Bound of 90% Confidence Interval [RL.PER.RNK.UPPER]",Rule of Law: Standard Error [RL.STD.ERR]
1996,YR1996,Algeria,DZA,-1.21819484233856,6,12.5628137588501,4.52261304855347,22.1105518341064,0.212429106235504
1996,YR1996,Sierra Leone,SLE,-1.38199138641357,5,8.5427131652832,1.00502514839172,21.1055278778076,0.299597144126892
1996,YR1996,Morocco,MAR,0.221231311559677,6,59.2964820861816,47.2361793518066,65.8291473388672,0.212429106235504
1996,YR1996,Ghana,GHA,-0.233578249812126,6,43.7185935974121,32.1608047485352,56.2814064025879,0.212429106235504
1996,YR1996,Zambia,ZMB,-0.531715393066406,6,34.1708526611328,21.1055278778076,45.7286415100098,0.212429106235504
1996,YR1996,Tunisia,TUN,-0.303403049707413,6,41.2060317993164,30.6532669067383,52.7638206481934,0.212429106235504
1996,YR1996,Lao PDR,LAO,-1.0479496717453,4,17.0854263305664,4.02010059356689,34.6733665466309,0.320348232984543
1996,YR1996,Singapore,SGP,1.23934519290924,8,87.939697265625,79.8994979858398,92.9648208618164,0.194236099720001
1996,YR1996,Malaysia,MYS,0.521090984344482,8,63.8190956115723,58.2914581298828,77.3869323730469,0.194236099720001
1996,YR1996,Cambodia,KHM,-1.19436883926392,5,13.5678396224976,5.02512550354004,22.1105518341064,0.219457134604454
1998,YR1998,Algeria,DZA,-1.16056227684021,8,12.5,6,23,0.209898442029953
1998,YR1998,Sierra Leone,SLE,-1.11102426052094,6,15,4.5,28.5,0.270483493804932
1998,YR1998,Morocco,MAR,0.232518538832664,8,60.5,47,69.5,0.209898442029953
1998,YR1998,Ghana,GHA,-0.275700330734253,8,42.5,31,54.5,0.209898442029953
1998,YR1998,Zambia,ZMB,-0.370884895324707,8,38,26.5,51,0.209898442029953
1998,YR1998,Tunisia,TUN,-0.23515984416008,8,43.5,31,55.5,0.209898442029953
1998,YR1998,Lao PDR,LAO,-0.916235327720642,5,20.5,6.5,37,0.28325954079628
1998,YR1998,Singapore,SGP,1.27445363998413,8,88,80.5,92,0.200167760252953
1998,YR1998,Malaysia,MYS,0.303418397903442,9,62.5,51,70,0.194886684417725
1998,YR1998,Cambodia,KHM,-1.15913891792297,6,13,6,24,0.22215136885643
2000,YR2000,Algeria,DZA,-1.2113356590271,8,11.8811883926392,2.47524762153625,21.7821788787842,0.175605073571205
